vehicle_type,age,CO2_emission_factor_(g/mi),NOX_emission_factor_(g/mi),CO_emission_factor_(g/mi),HC_emission_factor_(g/mi),cycle_average_speed_(mph)
1,0,388.801,0.0245362,0.773179,0.00500423,
1,1,382.203,0.0245362,0.769323,0.00500423,
1,2,375.995,0.0257843,0.718906,0.00456043,
1,3,380.651,0.0287671,0.720452,0.00456575,
1,4,388.024,0.0490303,1.51318,0.00789529,
1,5,388.024,0.0637897,1.64399,0.00818055,
1,6,388.024,0.0840581,2.18116,0.0111122,
1,7,388.024,0.1126,2.35366,0.0113376,
1,8,388.024,0.273375,2.77513,0.0143556,
1,9,388.024,0.292041,2.62832,0.0140739,
1,10,388.024,0.370071,3.28066,0.0212743,
1,11,383.413,0.785379,5.08801,0.208849,
1,12,383.413,0.785379,5.08131,0.208849,
1,13,380.203,0.785379,5.07509,0.208849,
1,14,378.908,0.785379,5.06886,0.208849,
1,15,384.495,0.895091,5.83338,0.247924,
1,16,379.471,1.68102,8.52884,0.458723,
1,17,383.169,1.68102,8.51915,0.458723,
1,18,378.109,1.86617,11.0095,0.550445,
1,19,384.362,1.86617,10.9991,0.550445,
1,20,374.092,2.11301,11.423,0.554318,
1,21,400.266,2.11301,11.4121,0.554318,
1,22,397.669,2.15733,15.6136,0.859934,
1,23,394.04,2.15733,15.6003,0.859934,
1,24,396.321,2.15733,15.5884,0.859934,
1,25,401.301,2.15733,15.575,0.859934,
1,26,448.121,2.41727,24.0349,1.1577,
1,27,452.781,2.41728,24.0349,1.1577,
1,28,464.032,2.41727,24.0349,1.15769,
1,29,452.086,2.02668,30.2353,1.66062,
1,30,523.417,2.02668,30.2353,1.66062,
2,0,460.175,0.154861,1.38684,0.0230331,
2,1,494.821,0.154861,1.37992,0.0230331,
2,2,493.787,0.15576,1.338,0.0228155,
2,3,497.924,0.159028,1.35652,0.022857,
2,4,547.771,0.182946,2.27056,0.0253046,
2,5,547.857,0.194638,2.3404,0.0254645,
2,6,547.426,0.310968,3.52289,0.067281,
2,7,546.625,0.371413,4.03763,0.0742589,
2,8,547.162,0.756446,6.10387,0.119976,
2,9,546.896,0.716059,5.80055,0.113144,
2,10,546.706,0.842081,7.13941,0.144808,
2,11,525.761,1.29978,9.05821,0.364026,
2,12,525.26,1.31538,9.10266,0.368422,
2,13,526.488,1.27775,8.95569,0.357818,
2,14,525.472,1.24435,9.7545,0.405215,
2,15,486.481,1.46815,9.7616,0.401217,
2,16,499.336,3.39331,21.0279,1.43291,
2,17,485.024,3.39631,20.9394,1.43024,
2,18,480.045,3.73376,21.408,1.31556,
2,19,475.292,3.73341,21.3917,1.31581,
2,20,475.929,4.21557,21.5058,1.45557,
2,21,524.843,4.20546,21.5584,1.45902,
2,22,524.006,3.92458,30.4407,2.08992,
2,23,546.793,3.92624,30.3992,2.09113,
2,24,554.264,3.92413,30.3956,2.08958,
2,25,490.622,3.94689,30.1584,2.10623,
2,26,531.854,4.66758,52.9604,3.36061,
2,27,529.128,4.66708,53.0759,3.36299,
2,28,745.711,4.66508,53.5394,3.37249,
2,29,855.802,4.42492,48.7599,2.96759,
2,30,628.396,4.4169,49.3261,2.97265,
3,0,461.874,0.270144,1.86924,0.0407358,
3,1,494.391,0.270144,1.85992,0.0407358,
3,2,493.421,0.270971,1.8192,0.0405314,
3,3,497.304,0.273997,1.83374,0.04057,
3,4,544.102,0.296191,2.68428,0.0428677,
3,5,544.188,0.307022,2.74683,0.0430171,
3,6,543.756,0.471005,4.4562,0.120944,
3,7,542.957,0.527012,4.93114,0.127471,
3,8,543.492,0.899269,6.85309,0.16875,
3,9,543.227,0.861851,6.56547,0.162359,
3,10,543.082,1.0009,7.92091,0.19903,
3,11,522.042,1.40802,9.44097,0.396864,
3,12,521.625,1.43063,9.51002,0.403163,
3,13,522.917,1.38338,9.32827,0.389998,
3,14,522.184,1.34463,11.4382,0.51877,
3,15,483.723,1.56953,11.7995,0.539098,
3,16,496.515,3.298,21.7332,1.46376,
3,17,482.18,3.29486,21.7789,1.4667,
3,18,476.537,3.63254,21.6772,1.3391,
3,19,471.843,3.62997,21.6874,1.34098,
3,20,473.672,4.04973,22.0201,1.48406,
3,21,521.814,4.08218,21.758,1.4726,
3,22,520.852,3.91195,29.6907,2.12355,
3,23,543.82,3.91226,29.6626,2.12377,
3,24,550.048,3.9063,29.6926,2.11947,
3,25,488.771,3.98102,29.0078,2.17344,
3,26,529.018,4.59115,50.4021,3.30929,
3,27,530.609,4.59149,50.3438,3.3081,
3,28,743.962,4.58478,51.4991,3.3317,
3,29,877.91,4.43713,42.2272,2.90564,
3,30,620.922,4.36033,47.0686,2.94739,
4,0,1303.95,0.951447,0.39084,0.117841,
4,1,1303.95,0.951447,0.39084,0.117841,
4,2,1303.95,4.32511,0.39084,0.117841,
4,3,1303.95,4.32511,0.39084,0.117841,
4,4,1303.95,4.32511,0.762291,0.229836,
4,5,1303.95,8.65023,3.81146,1.14918,
4,6,1303.95,8.65023,4.1285,1.24477,
4,7,1303.95,8.65023,4.1285,1.24477,
4,8,1303.95,8.65023,4.1285,1.24477,
4,9,1303.95,10.5871,5.00558,1.61415,
4,10,1303.95,10.3398,4.92075,1.64983,
4,11,1303.95,10.4461,4.95723,1.6345,
4,12,1303.95,10.3866,4.93683,1.64308,
4,13,1303.95,17.5072,5.04805,1.59629,
4,14,1303.95,19.8394,4.92744,1.64702,
4,15,1303.95,19.7569,6.10534,2.07307,
4,16,1303.95,19.7569,6.10819,2.05424,
4,17,1303.95,19.7568,6.10845,2.05256,
4,18,1303.95,19.7568,6.10547,2.07222,
4,19,1303.95,19.7569,6.12217,1.96181,
4,20,1303.95,19.6742,4.92089,1.64978,
4,21,1303.95,21.2768,5.0237,1.60653,
4,22,1303.95,27.5502,5.09499,1.57654,
4,23,1303.95,27.5503,5.18531,1.53856,
4,24,1303.95,27.5501,5.15171,1.55269,
4,25,1303.95,27.5502,5.37458,1.45894,
4,26,1303.95,27.5502,5.13832,1.55832,
4,27,1303.95,27.5501,5.24998,1.51135,
4,28,1303.95,27.5502,4.70516,1.74051,
4,29,1303.95,27.5502,5.12568,1.56364,
4,30,1303.95,27.5502,5.44533,1.42919,
5,0,2591.79,1.74026,0.459082,0.118839,
5,1,2591.79,1.74026,0.459082,0.118839,
5,2,2591.79,7.32688,0.459082,0.118839,
5,3,2591.79,7.32688,0.459082,0.118839,
5,4,2591.79,7.32688,0.83876,0.217124,
5,5,2591.79,14.6538,4.1938,1.08562,
5,6,2591.79,14.6538,4.21874,1.09207,
5,7,2591.79,14.6538,4.21874,1.09207,
5,8,2591.79,14.6538,4.21874,1.09207,
5,9,2591.79,26.1037,9.74636,1.23761,
5,10,2591.79,26.157,9.77771,1.23108,
5,11,2591.79,26.2989,9.86119,1.21371,
5,12,2591.79,26.1724,9.78678,1.2292,
5,13,2591.79,33.0614,9.65117,1.25742,
5,14,2591.79,38.4647,9.71274,1.24461,
5,15,2591.79,38.297,9.76776,1.33593,
5,16,2591.79,38.297,9.81798,1.2938,
5,17,2591.79,38.297,9.81694,1.29467,
5,18,2591.79,38.297,9.64433,1.43948,
5,19,2591.79,38.297,9.79364,1.31422,
5,20,2591.79,38.1292,9.61945,1.26403,
5,21,2591.79,41.2676,9.1522,1.36129,
5,22,2591.79,53.4352,9.69575,1.24815,
5,23,2591.79,53.4352,9.79849,1.22676,
5,24,2591.79,53.4352,9.82719,1.22078,
5,25,2591.79,53.4352,9.7373,1.2395,
5,26,2591.79,53.4352,8.80164,1.43426,
5,27,2591.79,53.4352,7.55612,1.69352,
5,28,2591.79,53.4352,9.29351,1.33187,
5,29,2591.79,53.4352,9.93069,1.19924,
5,30,2591.79,53.4353,9.70507,1.2462,
